,Acidity,Weight,Length,Appearance,Tannin,Ripeness,Sweetness,Country_of_Origin,Firmness,Grade,Price
0,5.977113595306217,149.82570406543965,49.24914439372171,3.7701619485634295,8.092385483829691,6.916558211025774,6.763284525303315,Costa Rica,0.37005271692838315,A,20075.252141358033
1,8.625522533627734,150.75925411613812,50.04829991765729,6.007515515555794,7.400024941642037,6.706338266528362,6.4819019268578675,Costa Rica,0.5606350882212063,A,20016.60132596234
2,8.813012185757138,148.7806935717814,49.865871348102,5.166948669445646,6.86143331698689,6.607327091399926,5.702631026986887,Costa Rica,0.37347463722270624,C,20123.52971876702
3,7.4964440618639845,152.3296257665954,49.676489405929885,5.451805813008717,7.342268896950636,6.482970352297992,6.265226699583128,Colombia,0.4908142945955417,A,20055.35363182948
4,6.885109324245189,150.41222770728686,50.52626826948799,3.8724413797053874,7.630643234840047,6.0644225573649715,6.856928506669721,Colombia,0.8268580071324926,A,20003.643981283305
5,8.850752545829137,147.2120712911731,51.173731938267295,3.68375017604841,8.652341078289494,6.288032288657686,7.067046076169484,Costa Rica,0.6441535560488585,B,19997.045843524957
6,8.707714912483297,149.9605902808703,48.40792240390734,5.504868234587245,8.664164367148832,7.609408456330309,6.509525030526252,Ecuador,0.7729068840794445,A,19966.027230486816
7,8.63373721191504,149.8005951802934,50.09842889810363,4.93412472479768,6.6830406508165225,6.037573270075717,6.168810916676484,Ecuador,0.701241655990849,A,20015.563582452025
8,6.937436281369373,148.4216800322607,50.01618654000763,4.024925188694835,10.912510226933223,7.668846212144252,6.495250483163122,Costa Rica,0.31994921413437283,C,19884.146589470634
9,9.24207854450567,150.02431641337432,49.86264056416545,4.023157282505174,7.437935750665022,7.038663306829209,6.4009195156706316,Colombia,0.0884796501647388,A,20070.977518290954
10,6.441114696276006,150.48983504373948,49.64750839033844,6.780293877620041,6.691805386685214,7.087422889017912,6.2075721440504745,Costa Rica,0.9516453940012739,C,20073.101422613116
11,7.274083266616879,151.73219072854886,50.879683063026164,4.466405902147004,7.308950524969533,7.835881876513078,7.016695488942045,Ecuador,0.6144626349916665,B,19923.684062435324
12,9.173366883310427,150.01884133438213,49.7550005153535,4.270796765349035,8.021046043473833,7.764505257851425,5.950263458792175,Ecuador,0.6959335057174234,C,20054.688272030166
